,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity
18,Mixed Use Property,7,DOWNTOWN,1907,5,57452,0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,61.96153846153846,132.3999939,1776201.875,3764791.0,2065091.0,4.75
19,Hotel,7,DOWNTOWN,1916,10,104352,0,Hotel,Hotel,104352.0,,,,,39.0,97.30000305,3430862.0,5908370.0,815376.0,3.35
20,Other,7,DOWNTOWN,1916,10,540360,0,Courthouse,Courthouse,537150.0,,,,,76.0,83.69999695,0.0,24357833.0,20626631.0,2.34
21,Other,3,DOWNTOWN,1985,19,385274,0,Other,Other,385274.0,,,,,62.36363636363637,124.1999969,0.0,18257661.0,29602150.0,4.41
23,Hotel,4,NORTHEAST,2001,6,88592,30586,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,84.0,63.20000076,0.0,2266231.0,1397303.0,1.02
24,University,7,DOWNTOWN,1928,7,126593,0,College/University,College/University,125000.0,,,,,63.63590772316951,90.69999695,0.0,4647474.0,6696211.0,3.07
25,Other,7,DOWNTOWN,1930,2,67224,0,Automobile Dealership,Automobile Dealership,67224.0,,,,,62.36363636363637,19.5,0.0,1310236.0,0.0,0.14
26,Hotel,7,EAST,1991,8,158676,30301,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,61.22222222222222,45.5,0.0,572307.0,4755745.0,1.62
27,Hotel,7,DOWNTOWN,2001,10,171866,38281,Hotel,Hotel,128909.0,,,,,57.0,85.80000305,0.0,5610706.0,5451210.0,1.91
29,Hotel,7,DOWNTOWN,1978,5,68410,16200,Hotel,Hotel,47994.0,,,,,57.0,92.90000153,0.0,2346349.0,2110365.0,1.88
32,Small- and Mid-Sized Office,4,LAKE UNION,1906,3,87262,0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,67.21794871794872,61.5,0.0,1352843.0,2793077.0,1.81
33,Hotel,4,NORTHEAST,1994,4,81871,0,Hotel,Hotel,81871.0,,,,,29.0,81.5,0.0,3016399.0,3652169.0,2.63
34,Self-Storage Facility,4,NORTHEAST,1955,2,110356,0,Self-Storage Facility,Self-Storage Facility,26225.0,,,,,63.63590772316951,12.10000038,0.0,281265.0,37100.0,0.04
35,Mixed Use Property,2,GREATER DUWAMISH,1992,3,494835,0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,8.0,221.6999969,0.0,150476283.0,297909000.0,34.09
36,Warehouse,2,GREATER DUWAMISH,1961,2,714095,0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,54.02836879432624,46.40000153,0.0,44731153.0,0.0,0.44
37,K-12 School,7,MAGNOLIA / QUEEN ANNE,1990,2,54986,0,K-12 School,K-12 School,54986.0,,,,,97.0,30.0,0.0,1217589.0,432690.0,0.57
39,Small- and Mid-Sized Office,6,BALLARD,1961,2,94900,0,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,57.0,65.19999695,0.0,4291585.0,1894876.0,1.38
40,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1900,2,52554,0,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,,,83.0,50.09999847,0.0,1579749.0,1371582.0,1.6
