,CouncilDistrictCode,YearBuilt,NumberofFloors,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility
192,7,1973,1,62.36363636363637,42.0,86.09999847,0.0,1563366.0,1704198.0,1.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,7,1927,5,1.0,183.5,443.0,0.0,18745441.0,9986059.0,3.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194,7,1961,4,8.0,208.1000061,326.6000061,0.0,6322533.0,19131155.0,8.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,7,1995,3,62.36363636363637,110.5999985,248.8999939,0.0,13788853.0,10228916.0,2.97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,7,2003,8,29.0,96.19999695,204.8999939,0.0,13763542.0,12895700.0,3.07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,7,1980,2,62.36363636363637,213.6999969,541.7000122,0.0,10534370.0,4299104.0,4.35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198,7,1900,1,61.96153846153846,158.3000031,286.7000122,0.0,3787933.0,6606397.0,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,7,1914,4,98.0,34.5,84.5,492761.8125,887532.0,0.0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200,2,2008,4,72.0,18.60000038,58.40000153,0.0,3785282.0,0.0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201,7,1968,3,20.0,97.19999695,305.1000061,0.0,9788716.0,0.0,0.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,7,1981,4,57.0,80.59999847,228.8999939,0.0,4286102.0,721298.0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203,7,1978,12,39.0,89.40000153,276.6000061,0.0,18246151.0,415452.0,0.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,7,1989,25,74.0,64.5,202.5,0.0,24755084.0,0.0,0.47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,7,1925,10,93.0,57.79999924,173.6999969,21230.80078,37497068.0,2544584.0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206,7,1976,33,89.0,60.29999924,189.5,0.0,40839637.0,538251.0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,7,2000,23,90.0,56.20000076,164.6000061,0.0,27883939.0,3101477.0,0.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,7,1926,10,90.0,66.90000153,131.6999969,2086424.75,1357845.0,0.0,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
209,7,1930,17,91.0,44.5,127.8000031,0.0,6736076.0,1003622.0,0.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,7,1916,5,61.0,61.09999847,191.6999969,0.0,3757005.0,0.0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211,7,1969,20,90.0,64.59999847,146.6999969,6568832.0,8064399.0,0.0,2.12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,7,2009,25,95.0,46.40000153,142.3999939,0.0,26131643.0,886373.0,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,7,1968,12,91.0,53.29999924,139.5,2312496.75,6267781.0,0.0,1.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,7,2009,36,97.0,53.20000076,166.8999939,0.0,39523847.0,0.0,0.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,7,1990,16,94.0,52.70000076,164.6000061,0.0,17733276.0,133724.0,0.27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,7,1900,7,85.0,47.70000076,141.6000061,348386.8125,3554872.0,0.0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
217,7,1900,6,66.0,46.79999924,145.3999939,0.0,4116601.0,61632.0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
218,7,1922,15,89.0,47.79999924,144.0,1192343.75,17384553.0,0.0,0.55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,7,1929,22,98.0,28.39999962,89.30000305,0.0,10062435.0,0.0,0.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,7,1958,17,69.0,105.1999969,240.8999939,10921066.0,13985064.0,0.0,2.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,7,1983,47,94.0,42.59999847,133.5,0.0,44521844.0,161812.0,0.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,7,1986,41,84.0,51.20000076,160.6999969,0.0,24603417.0,0.0,0.29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,7,1950,6,67.21794871794872,20.5,53.90000153,480784.0,1355021.0,0.0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
224,7,1968,8,81.0,44.09999847,138.5,0.0,3743228.0,0.0,0.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,7,1991,29,95.0,34.90000153,108.8000031,180731.7969,18040489.0,0.0,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,7,1980,34,81.0,53.70000076,168.3000031,0.0,32457349.0,95076.0,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,7,1972,14,95.0,52.70000076,142.8000031,2154977.5,7486064.0,0.0,1.17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,7,1969,49,89.0,52.70000076,149.0,0.0,38378889.0,6784415.0,0.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,7,2002,37,93.0,46.29999924,145.3000031,0.0,41213579.0,0.0,0.27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,7,1973,42,28.0,115.9000015,361.2000122,882983.5,68636822.0,0.0,0.88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,7,1907,8,91.0,44.29999924,123.5,1619966.875,7301810.0,0.0,0.87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,3,1990,63,89.0,50.40000153,158.1000061,0.0,61576180.0,0.0,0.32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,3,2001,14,77.4375,71.0,187.5,0.0,16124036.0,5045465.0,1.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,7,2003,8,69.0,73.19999695,178.1000061,0.0,8738965.0,4475451.0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,7,2006,13,98.0,43.29999924,119.0999985,0.0,11248986.0,2594878.0,0.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,7,1909,7,99.0,28.39999962,65.40000153,0.0,1640689.0,1105871.0,0.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,4,1978,2,83.0,72.40000153,204.8999939,0.0,5499125.0,962811.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
239,4,1971,23,77.0,60.0,188.3000031,0.0,28450433.0,0.0,0.42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4,1969,5,96.0,834.4000244,2620.0,0.0,30038487.0,0.0,5.82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,4,1961,5,70.0,59.40000153,137.6000061,0.0,2863212.0,1865277.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
242,4,2002,6,88.0,46.09999847,144.8999939,0.0,4426136.0,0.0,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,4,2002,5,93.0,48.29999924,151.8000031,0.0,7046345.0,0.0,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,7,1964,5,63.63590772316951,9.300000191,29.29999924,0.0,873222.0,0.0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
245,7,1980,18,79.0,69.59999847,218.3999939,0.0,24224886.0,0.0,0.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,7,2000,11,94.0,48.40000153,150.8999939,0.0,9671822.0,93954.0,0.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
247,7,1988,20,65.0,73.0,227.8999939,0.0,26602310.0,220905.0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,7,1979,24,79.0,59.70000076,187.3999939,0.0,25307741.0,0.0,0.32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,7,1980,4,61.96153846153846,116.3000031,343.6000061,0.0,7484659.0,733496.0,0.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,7,1982,6,64.0,74.30000305,233.3000031,0.0,20361156.0,0.0,0.36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,7,2002,6,74.0,74.90000153,235.1000061,0.0,14913422.0,0.0,0.36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,7,1947,3,94.0,36.70000076,112.4000015,0.0,5169641.0,188191.0,0.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,7,1984,8,3.0,161.1999969,506.1000061,0.0,29949243.0,0.0,0.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,6,1956,1,54.0,231.8000031,518.7999878,0.0,8125218.0,6168753.0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
255,7,1900,5,77.0,46.59999847,143.1999969,0.0,2836654.0,96634.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
256,7,1912,42,72.0,88.40000153,182.6000061,1014422.375,11239744.0,11008077.0,2.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2,1977,1,97.0,14.0,20.79999924,0.0,371850.0,1437252.0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
258,7,1927,8,76.0,60.40000153,158.0,3700629.75,9955956.0,0.0,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,7,1964,22,77.0,71.90000153,182.6999969,5370612.0,13134207.0,462194.0,1.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,7,1960,21,79.0,90.69999695,202.1000061,12760971.0,14315950.0,0.0,3.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,7,1976,42,69.0,62.90000153,197.6000061,0.0,48479982.0,0.0,0.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,7,1923,12,45.0,104.1999969,210.1999969,28438884.0,24078107.0,3968211.0,4.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,2,1980,2,80.0,40.0,113.1999969,0.0,9933861.0,1754739.0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
264,2,1970,1,42.0,48.29999924,109.0,0.0,2530658.0,1852442.0,1.31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
265,5,1960,1,96.0,18.20000076,19.79999924,0.0,16765.0,913847.0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
266,7,2009,5,62.36363636363637,43.09999847,135.1999969,0.0,3085813.0,0.0,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
267,7,2001,5,60.0,56.09999847,176.1000061,0.0,5803409.0,0.0,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,6,1973,1,2.0,72.19999695,191.8000031,0.0,3064777.0,924621.0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
269,6,1959,2,55.0,79.59999847,151.1999969,0.0,1853914.0,2706578.0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
270,7,1916,6,90.0,53.29999924,154.1999969,0.0,15974366.0,2127656.0,0.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,7,1988,55,92.0,46.70000076,140.1999969,2179487.75,49472833.0,1426840.0,0.42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,7,1930,21,58.0,108.8000031,220.6000061,16284570.0,14578058.0,2866705.0,4.94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,7,1989,46,89.0,51.90000153,157.3000031,0.0,53668061.0,2938070.0,0.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,7,1958,10,91.0,44.40000153,111.0999985,2121203.0,4302353.0,0.0,1.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,7,1914,4,25.0,80.30000305,252.1000061,0.0,5252130.0,0.0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
277,7,1983,29,93.0,44.29999924,139.0,0.0,18848777.0,0.0,0.26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,7,1926,10,72.0,52.70000076,159.8000031,328247.0938,5698221.0,2551.0,0.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,7,1984,6,45.0,87.90000153,275.8999939,0.0,7335905.0,0.0,0.47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,7,1973,19,6.0,113.8000031,251.3000031,15586014.0,19800542.0,2398995.0,4.42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,7,1910,10,49.0,89.30000305,204.1000061,631029.0,6846996.0,4173175.0,2.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,7,1920,8,67.21794871794872,55.29999924,173.6999969,0.0,2586116.0,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
283,7,1929,14,89.0,51.09999847,125.4000015,2258855.25,4107229.0,0.0,1.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,7,1929,15,84.0,43.40000153,92.30000305,2850077.75,2596546.0,0.0,1.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,7,1985,30,72.0,78.09999847,217.1000061,519390.0,43199963.0,8506844.0,1.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,7,1906,4,72.0,62.0,154.5,0.0,2428286.0,1090173.0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
287,7,1927,10,80.0,57.20000076,179.6000061,0.0,6962072.0,0.0,0.37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,7,1910,5,61.96153846153846,37.70000076,118.1999969,0.0,3009464.0,0.0,0.26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
289,7,1908,4,61.96153846153846,122.8000031,306.6000061,0.0,10344729.0,4595774.0,2.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
290,7,1996,6,62.36363636363637,157.5,407.7000122,0.0,7122619.0,2548999.0,1.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
291,7,1996,4,62.36363636363637,74.69999695,189.3999939,0.0,5169902.0,2103253.0,0.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
292,7,1989,56,97.0,36.79999924,110.3000031,915654.875,46081813.0,2520230.0,0.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,7,1980,36,96.0,35.20000076,108.6999969,0.0,26031451.0,658204.0,0.27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,7,1971,21,74.0,56.59999847,177.6000061,0.0,19397322.0,0.0,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,7,1986,12,89.0,45.20000076,141.8000031,0.0,4757299.0,0.0,0.29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,7,1999,4,72.0,63.40000153,199.1000061,0.0,4549891.0,0.0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
297,7,1998,11,72.0,69.09999847,217.1000061,0.0,13329022.0,0.0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,7,1985,12,62.36363636363637,98.40000153,309.0,0.0,14436981.0,0.0,0.52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
299,7,1923,11,96.0,52.5,98.5,3480880.75,1846369.0,0.0,2.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,7,1925,4,83.0,46.90000153,123.0999985,0.0,1831932.0,597088.0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
301,7,1913,10,61.96153846153846,77.30000305,214.6000061,3902781.25,16877013.0,0.0,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
302,7,1929,8,66.11111111111111,19.89999962,56.0,2927935.25,14736955.0,1753.0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
303,7,1999,5,62.36363636363637,93.19999695,277.5,1631750.25,17663475.0,0.0,1.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
305,3,1988,9,62.36363636363637,89.30000305,220.3000031,1447314.625,2722116.0,0.0,2.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
306,3,1945,3,65.0,85.90000153,244.1999969,476741.8125,11902958.0,1532059.0,0.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
307,3,1992,14,58.0,78.19999695,245.6999969,0.0,21156669.0,0.0,0.21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
308,7,2001,6,100.0,283.7000122,874.0999756,0.0,53506520.0,1566594.0,1.21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
309,7,2001,6,100.0,707.2999878,2217.800049,0.0,74917352.0,156525.0,2.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310,7,1979,5,34.0,86.90000153,199.1000061,0.0,5625395.0,3849350.0,2.24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,7,1981,5,77.0,71.69999695,225.0,0.0,16373229.0,0.0,0.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2,2001,1,59.0,16.20000076,50.70000076,0.0,1987934.0,0.0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
313,2,1963,1,45.0,46.59999847,71.40000153,0.0,634386.0,2121829.0,1.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,2,1963,1,93.0,7.199999809,22.60000038,0.0,763364.0,0.0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
315,4,1962,3,19.0,125.5999985,360.3999939,0.0,15941028.0,2368120.0,1.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,2,1960,1,97.0,6.5,20.5,0.0,774965.0,764.0,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,3,2001,7,81.0,52.90000153,166.1000061,0.0,4342597.0,0.0,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,7,1984,6,95.0,32.0,100.5,0.0,3063504.0,0.0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
319,7,1996,5,83.0,53.59999847,168.3999939,0.0,5661689.0,0.0,0.19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4,2001,3,7.0,179.1000061,350.2999878,0.0,4904243.0,6415592.0,3.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,5,1974,5,56.0,71.59999847,224.6999969,0.0,5134607.0,0.0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
322,5,1979,6,53.0,70.59999847,221.8000031,0.0,6029121.0,0.0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
323,5,1983,5,93.0,43.5,136.3999939,0.0,5535625.0,0.0,0.32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,5,1979,4,20.0,88.30000305,277.2000122,0.0,4742869.0,0.0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
325,1,1960,3,55.0,76.0,186.6999969,0.0,2842549.0,1382323.0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
326,7,1982,4,54.0,65.19999695,204.6000061,0.0,4695138.0,0.0,0.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,2,2005,1,25.0,141.3999939,358.6000061,0.0,15927634.0,6466780.0,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
328,7,1929,8,77.4375,176.0,550.7000122,0.0,48155040.0,251511.0,1.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,3,1975,8,62.36363636363637,389.1000061,1026.599976,5650343.5,46528618.0,9571816.0,7.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
330,7,1985,4,81.0,51.40000153,161.3999939,0.0,2991674.0,0.0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
331,6,1999,1,62.0,104.0,276.0,0.0,14099499.0,4290843.0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
332,7,2009,5,95.0,47.40000153,148.5,0.0,5651060.0,20195.0,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,7,1928,3,63.63590772316951,210.0,504.5,0.0,7500378.0,4093742.0,4.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,7,2003,4,63.63590772316951,191.3999939,442.7999878,0.0,20388923.0,13324952.0,3.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,7,2004,6,96.0,37.29999924,117.3000031,0.0,3238216.0,0.0,0.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,7,2009,5,96.0,42.40000153,131.5,0.0,7695280.0,156054.0,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,3,1914,5,56.0,21.70000076,64.40000153,0.0,2545590.0,221900.0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
338,3,2002,5,71.0,80.80000305,202.1999969,0.0,20922584.0,9160910.0,1.13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,3,2001,6,49.0,90.90000153,281.6000061,0.0,11719809.0,243618.0,0.42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,3,1997,5,62.36363636363637,245.1000061,509.3999939,0.0,64627449.0,66746425.0,7.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
341,7,2003,5,61.96153846153846,270.3999939,650.5999756,0.0,20355803.0,11015812.0,4.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
342,7,2006,4,97.0,51.0,135.1999969,0.0,5303806.0,1613672.0,0.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,7,2006,6,97.0,40.70000076,123.6999969,0.0,7147457.0,372009.0,0.23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,7,1954,3,66.0,42.09999847,94.19999695,0.0,1566221.0,1189608.0,1.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
345,7,1963,4,63.63590772316951,236.5,559.5,0.0,15355254.0,9039972.0,5.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,7,2008,5,61.96153846153846,171.1999969,417.0,0.0,29992691.0,15259662.0,2.34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
347,7,1974,5,80.0,52.70000076,165.6000061,0.0,3415561.0,0.0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
348,7,1972,5,69.0,54.5,171.1000061,0.0,3632614.0,0.0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
349,7,1970,5,86.0,52.29999924,164.3000031,0.0,3493093.0,0.0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
350,7,1971,5,75.0,50.0,157.0,0.0,3484915.0,0.0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
