,CouncilDistrictCode,YearBuilt,NumberofFloors,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility
35,2,1992,3,8.0,221.6999969,388.2000122,0.0,150476283.0,297909000.0,34.09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,2,1961,2,54.02836879432624,46.40000153,145.8999939,0.0,44731153.0,0.0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,7,1990,2,97.0,30.0,77.80000305,0.0,1217589.0,432690.0,0.57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6,1961,2,57.0,65.19999695,163.0,0.0,4291585.0,1894876.0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,2,1900,2,83.0,50.09999847,108.6999969,0.0,1579749.0,1371582.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,6,1954,3,95.0,40.0,74.0,0.0,2679739.0,4315001.0,1.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7,1911,3,63.63590772316951,30.60000038,76.59999847,0.0,1500229.0,658400.0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,7,1969,24,67.0,46.40000153,121.8000031,0.0,12204406.0,3958787.0,0.89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7,1973,5,78.0,56.29999924,176.6000061,0.0,9536160.0,0.0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,1920,2,62.36363636363637,21.70000076,48.79999924,0.0,714939.0,532423.0,0.58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,7,1910,8,14.0,85.40000153,398.7000122,0.0,5071973.0,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,7,1926,2,61.96153846153846,286.3999939,485.2999878,0.0,4632459.0,10393737.0,11.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,7,1930,20,71.0,54.59999847,158.6000061,0.0,4290059.0,551288.0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,7,1982,34,63.0,80.90000153,182.5,11598686.0,45545529.0,23324992.0,2.47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,1985,7,98.0,93.09999847,215.8999939,0.0,3243900.0,2104408.0,1.89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7,1908,7,99.0,44.0,68.19999695,0.0,1293561.0,4107716.0,1.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,7,1959,5,86.0,74.80000305,165.6999969,0.0,2944680.0,2339663.0,1.28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,7,2000,7,84.0,60.70000076,128.0,0.0,3396109.0,3319078.0,1.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,7,1997,6,80.0,65.90000153,144.5,0.0,3188457.0,2639138.0,1.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,7,1998,6,81.0,43.90000153,107.4000015,0.0,4558937.0,2277962.0,0.98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,1911,3,76.0,57.70000076,81.09999847,0.0,551867.0,2682920.0,2.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,7,1999,4,94.0,68.40000153,136.6999969,0.0,2423730.0,2913604.0,1.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,3,1962,2,71.0,61.40000153,139.6000061,0.0,1978230.0,1396981.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,1,1922,5,54.0,144.3999939,235.0,0.0,11824772.0,30967300.0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,5,1970,2,1.0,175.6000061,311.5,0.0,5679498.0,10723064.0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,7,2008,6,74.0,58.5,154.1999969,0.0,2812688.0,893412.0,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3,1965,3,48.0,93.30000305,213.3999939,0.0,9886484.0,6814570.0,2.41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,1908,7,71.0,94.69999695,172.0,0.0,2660742.0,4598016.0,3.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3,1983,6,61.96153846153846,204.5,505.7999878,5327802.5,10145313.0,0.0,4.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,7,1929,2,96.0,14.60000038,25.79999924,0.0,361803.0,687945.0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67,7,2010,5,96.0,48.0,144.0,0.0,12871091.0,924861.0,0.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3,1990,7,37.0,82.5,184.0,0.0,10980652.0,8478651.0,1.86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,7,1962,1,62.36363636363637,64.30000305,151.6000061,6093150.0,14419146.0,688680.0,1.56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,7,1962,1,62.36363636363637,125.1999969,261.7000122,4120130.0,3754115.0,0.0,3.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,7,1938,5,62.36363636363637,75.19999695,138.1000061,9763690.0,7252325.0,0.0,2.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,7,2010,12,91.0,63.40000153,174.1999969,0.0,32206199.0,7399685.0,1.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,7,1962,2,62.36363636363637,52.40000153,110.4000015,1202380.0,1293349.0,0.0,1.96,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,7,1928,1,62.36363636363637,8.100000381,25.5,0.0,875943.0,0.0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,7,1928,2,62.36363636363637,70.0,171.1999969,5137220.0,13512686.0,0.0,1.87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,7,1986,2,67.21794871794872,74.90000153,235.1999969,0.0,4166305.0,0.0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,7,2010,6,93.0,49.79999924,130.8000031,0.0,27597261.0,9069780.0,0.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,7,1970,4,68.0,68.19999695,192.3999939,0.0,2944692.0,531520.0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,7,2002,6,56.0,86.0,182.1999969,0.0,2637011.0,2518558.0,1.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4,1962,4,53.0,108.9000015,203.3000031,0.0,2128306.0,3320669.0,3.82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,3,1923,3,34.0,39.09999847,82.30000305,0.0,1337786.0,1309093.0,1.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3,1908,6,100.0,32.0,54.0,0.0,1887893.0,4331949.0,1.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3,2003,3,63.0,76.90000153,241.5,0.0,4897760.0,0.0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,4,1941,4,62.36363636363637,129.6999969,407.3999939,0.0,6357631.0,0.0,0.78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,4,1929,2,62.36363636363637,35.70000076,72.59999847,0.0,2001103.0,2252474.0,0.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,5,2001,4,89.0,70.30000305,130.6999969,0.0,1398289.0,2213249.0,2.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,5,1959,1,92.0,47.90000153,83.69999695,0.0,3926011.0,7839670.0,1.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,5,2002,3,78.0,45.90000153,101.5999985,0.0,1802889.0,1439568.0,1.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,7,1904,5,98.0,34.09999847,84.0,0.0,4402910.0,2103084.0,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,7,1998,6,62.36363636363637,77.19999695,192.5,4311136.0,9803021.0,527343.0,1.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,6,1954,5,14.0,225.0,479.5,0.0,35237205.0,32853512.0,6.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,2006,4,62.36363636363637,130.1000061,338.2999878,0.0,6947270.0,2416104.0,2.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,2,1910,4,62.36363636363637,34.70000076,83.69999695,0.0,1311669.0,698785.0,0.64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,7,1996,4,76.0,69.90000153,150.5,0.0,4197462.0,3749499.0,1.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3,1915,3,63.63590772316951,47.20000076,111.1999969,0.0,1911064.0,1148694.0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,1,1970,2,63.63590772316951,79.30000305,192.8000031,0.0,25314575.0,12987166.0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,4,2002,2,67.21794871794872,167.8000031,476.5,0.0,13973696.0,2346137.0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
